Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
1	620.6332387	2534.076452734746	0.9310990072291895	0.9289995520700762	0.8928571428571429	0.8064516129032258
2	1232.8880812	1692.4854492603354	0.9558650172563168	0.9468740890314048	0.9182058047493403	0.8635235732009926
3	1857.1708384	1363.2968550482517	0.963072902611882	0.9535432678976444	0.9281914893617021	0.8660049627791563
4	2464.9288787	1194.6877847532664	0.9662614154440483	0.9589753069741977	0.9549295774647887	0.8411910669975186
5	3073.0320094999997	1071.725332825821	0.9705222343734466	0.9599991468001451	0.9659090909090909	0.8436724565756824
6	3682.1832525	961.7871531335729	0.9712465735914442	0.9598427268267364	0.9342105263157895	0.8808933002481389
7	4294.0045912000005	923.7669777246015	0.9718324361942365	0.9636927911722255	0.9444444444444444	0.8858560794044665
8	4903.9459876	869.8624489921467	0.9705790452925052	0.9587726720086459	0.9477806788511749	0.9007444168734491
9	5518.2735122	842.4704288613063	0.9722478660398528	0.9624520963831436	0.9514824797843666	0.8759305210918115
10	6135.503985	751.6666220400447	0.9739166867872006	0.9634759362090909	0.9242424242424242	0.9081885856079405
11	6754.491762000001	708.5493165462603	0.9755926088994303	0.9646313110126772	0.92	0.913151364764268
12	7374.2426931	702.2602560383508	0.9754221761422546	0.9638349911480515	0.9405684754521964	0.9032258064516129
13	7995.3516362	671.5932183860557	0.9772969364711898	0.9633763962260127	0.9263959390862944	0.9057071960297767
14	8613.6506487	670.5995247150307	0.9760826030763112	0.9600738017874537	0.9154228855721394	0.913151364764268
15	9234.3450718	663.7764231665429	0.9771620105384254	0.9612469515880182	0.9158415841584159	0.9181141439205955
16	9852.8169647	656.7380227304891	0.9754789870613132	0.9591103969512326	0.946236559139785	0.8734491315136477
17	10472.747899400001	627.6084982223159	0.9766862190913094	0.9594658968907976	0.9156327543424317	0.9156327543424317
18	11090.7762239	637.0692718108161	0.9763844110838102	0.9613891515638443	0.9197994987468672	0.9106699751861043
19	11711.1705005	623.9235511207087	0.9766116547600449	0.9619757264641264	0.9263959390862944	0.9057071960297767
20	12327.2030164	584.9116783082427	0.9779360593105995	0.9598818318200886	0.9201995012468828	0.9156327543424317
21	12945.430557900001	570.9799990172278	0.9769560709568379	0.9599778168037711	0.9195979899497487	0.9081885856079405
22	13563.5625325	557.1690472929005	0.976011589427488	0.958730012015898	0.9197994987468672	0.9106699751861043
23	14182.1842316	564.266647769714	0.9765832493005157	0.9589859719723849	0.9219143576826196	0.9081885856079405
24	14799.2882218	553.5170518161174	0.9785538780553622	0.9589397569802414	0.9265822784810127	0.9081885856079405
25	15419.3259878	566.168406619747	0.9782556207303044	0.9591957169367281	0.9242424242424242	0.9081885856079405
26	16039.147216700001	560.2596523331234	0.9779893195472168	0.9581683221113853	0.9242424242424242	0.9081885856079405
27	16657.559005799998	553.9326509336704	0.9756565211833714	0.959156611943376	0.9217171717171717	0.9057071960297767
